,review
243,send package safely happy services shampoo suitable adults ordered btw u believe horrible result actually ordered decreasing hair fall hair fall increase horribly hair became sticky explain never use shampoo waste money
244,yr diffrent consistency doubt original ml usual ml
245,suited face try face become pimple face mysore gold buts quite expensive discount needs think company pricing lol
246,suited face try face become pimple face mysore gold buts quite expensive discount needs think company pricing lol
247,awsome purchased months works smoothly till watches got little damage within monthly unfortunently working well simple damage untill thank god thank
248,first thought great value low price realised fake one guys diluted give money buy real rather saving money getting fake one
249,may suit everyone may high expectations acne prone smooth used started sake extra glow turned opposite used days n stopped got small white acne forehead n nose u check picture n worried got small white patch eyes rd day horrified n use recommend everyone wasted bucks
250,used first much satisfied multi purpose disinfectant spray kills bacteria viruses eliminating odour causing bacteria use bedroom toilet kitchen mattress etc recommend hygienic also gives pleasant every use
251,perfect travellers lazy people thing u need take hot water mix powder awesome masala tea ready make sure u follow instructions mix right proportion instructed must u travelling u live without tea
252,himalaya babycare baby lotion specially formulated restore natural beauty great enriched almond oil restore moisture olive oil improves luster yashtimadhu country mallow soothes contains herbal actives perfect baby highly recommend
253,mysore sandal best talc ever market long lasting increase body charm pure natural sandalwood talc also economic talc compromise go
254,today l package condition l open found first packet opening condition case
255,cheating broad day light biscuit see mrp rs discount may think combo grm packet
256,one standard biscuits previous generation nothing much write buy eat understanding ting ting ti ting
257,got juice consumption practice health
258,dettol nice contains antibacterial properties antiseptic properties kills bacteria dettol available many nice use take bath dettol feels refreshed dettol sops especially made kiling bacteria present also useful handwashing dettol dettol hand wash also nice recommend every body use dettol contains nice thank reading review hope may help make best choice
259,really amazing budget
260,seal packed ordered twice came open compromised
261,big name duplicate bad bad bad packing zero value moneyworst ghee purchased worst refinedpruduct must sild
262,past days honest review pros looks best lean hands stylish wrist band unisex oled screen looks awesome heartrate sensor indian tata productcons silence mute incoming calls
263,mom peculiar cosmetics use baby always try use non chemical based cosmetics baby tried called big foreign brands results average last tried himalaya baby shampoo results astonishing thr natural oil babies hairs abck normal hairs soft hardly itching eyes must buy products thr moms love babies
264,scent hand wash seems different earlier ones purechased dealers since last six months impression first use inferior genuine came cloudtrail doubt still something wrong supply
265,nightmare trust stuck every direction written leaflet almost hours blonder shampoo shampoo routine entire hair turned orange funky orange badly done henna orange know mean tried blue green blonde hair previously semi permanent permanent never think safe like cappucino brown turn disaster order another cover mess frantically searching scarfs andhats right
266,ok
267,even reporting selling mrp price updated
268,regular consumer tea pantry tea leaves finely coarsed colour great even little amount tea leaves flavour aroma perfect manufacturing date recent since comes zip lock bag easy keep freshness intact liked
269,nice
270,need one cup tea lazy go whole rigmarole lifesaver heat water optionally add milk richer cup microwave drop heaped scoop premix voila tea ready utensils wash gas needed tea leaves throw tea filter clean decent full marks convenience must kitchen
271,perfect condition although plastic box cracked original works fine
272,fastrack men beyond every ones expactation famous supplier cloud tail us name means assurance fully satisfied usual planning buy doubt go
273,looking showed picture totally disappointed delivery services took days deliver address damage condition would like replace done within short
274,thick beads know want scrub face everyday foam like facewash smells like pulpy orange applying smells bit like turmeric washing face looked bright bright previous facewashes made dry annoying since already dry without made worse definitely worth money got rs sale still worth think worked tan still dont see changes disappointing
275,
276,buy rs charged rs donno got alot pimples face disappointed patanjali
277,best price segment
278,described website well packed one thing hands different actual selected even
279,brightens gives glow
280,nice easy use gud colout
281,nice classic looking added benefit date window radium night use built leather straps also made materials got delivered days superb reasonable pricing thank
282,given packet whereas thy put packets menu
283,society masala tea far one within expiry due storage conditions discolored
284,
285,wear classic
286,go like dettol sealed prefer one first usage particular type dettol sure whether sealed manufacuturer would recommend sealed manufacturer directly depandant satisfaction
287,one worst products cinthol bath cool cool effects purchased anybody packet showing date think much much older due cannot return trying use one
288,firstly thanks delivering essential items lockdown red zones impossible think online deliveries current situation issues
289,
290,perfect friend combination fab goes indian western outfits casual professional amazing
291,nice easy use gud colout
292,lets get started first lests talk pros convenient one necessary things packaging handling awesome presentation qualityso many pros wait much cons souch worthy spend waste single buy thats one also option giftingif find helpful please click helpful
293,excellent packaging really terrible shocked see box damaged like thrown warehouse something luckily mint condition locker useful domestic help around locker shall actually keep stress free locker easy operate day night due led backlit number illuminated overall great buy wish improves packaging future
294,instant valuable saving
295,awesome battery life long lasting additional features makes worth buying looks fashionable well
296,purchased via subscribing bucks rs mentioned add gst substract promotion price would go beyond totally dissatisfied
297,useless indicator power proper response either manufacturers customer care axecutive helpful want return customer care executive helpful
298,really really appreciate leaves baby soft moisturized dry however days use became lump cream literally keep bowl scoop little like cream use mamaearth please something without compromising
299,patanjali products reliable however flavour ghee compared products market may additives process preparing may different
300,percent satisfie customer gupta ji
301,looks return itbecause tab ee adjust loosed gets pressed movement stops work return
302,nothing like gold tastes really unexpected worth price know hype purchased tea great expectations disappointed even added two full spoons tea leaves really got aroma even assuming reviews reading could fake surely try purchase give valuable feedback
303,purchased father really liked thanks quick delivery
